sample_rank,full_name,project_log,rich_evidence_url,strict_important_ordinary_split_reviewed,module_component_organization_reviewed,broad_typed_or_structured_reviewed
23,ethereum/go-ethereum,project_logs/023_ethereum__go-ethereum.md,https://raw.githubusercontent.com/ethereum/go-ethereum/master/crypto/secp256k1/libsecp256k1/CHANGELOG.md,yes,yes,yes
24,dbeaver/dbeaver,project_logs/024_dbeaver__dbeaver.md,https://github.com/dbeaver/dbeaver/releases/tag/26.0.4,no,no,no
25,x64dbg/x64dbg,project_logs/025_x64dbg__x64dbg.md,https://github.com/x64dbg/x64dbg/releases/tag/2025.08.19,no,yes,yes
26,ClickHouse/ClickHouse,project_logs/026_ClickHouse__ClickHouse.md,https://raw.githubusercontent.com/ClickHouse/ClickHouse/master/CHANGELOG.md,yes,yes,yes
27,metabase/metabase,project_logs/027_metabase__metabase.md,https://raw.githubusercontent.com/metabase/metabase/master/enterprise/frontend/src/embedding-sdk-package/CHANGELOG.md,no,yes,yes
28,v2ray/v2ray-core,project_logs/028_v2ray__v2ray-core.md,https://github.com/v2fly/v2ray-core/releases/tag/v4.31.0,no,yes,yes
29,prisma/prisma,project_logs/029_prisma__prisma.md,https://github.com/prisma/prisma/releases/tag/7.6.0,yes,no,yes
30,milvus-io/milvus,project_logs/030_milvus-io__milvus.md,https://github.com/milvus-io/milvus/releases/tag/v3.0-beta,no,yes,yes
31,getsentry/sentry,project_logs/031_getsentry__sentry.md,https://github.com/getsentry/sentry/releases/tag/26.4.2,no,yes,yes
32,parcel-bundler/parcel,project_logs/032_parcel-bundler__parcel.md,https://raw.githubusercontent.com/parcel-bundler/parcel/v2/CHANGELOG.md,no,no,yes
33,babel/babel,project_logs/033_babel__babel.md,https://raw.githubusercontent.com/babel/babel/main/.github/CHANGELOG-v6.md,yes,yes,yes
34,mitmproxy/mitmproxy,project_logs/034_mitmproxy__mitmproxy.md,https://raw.githubusercontent.com/mitmproxy/mitmproxy/main/CHANGELOG.md,yes,yes,yes
35,Kong/kong,project_logs/035_Kong__kong.md,https://raw.githubusercontent.com/Kong/kong/master/CHANGELOG.md,yes,yes,yes
36,apache/dubbo,project_logs/036_apache__dubbo.md,https://raw.githubusercontent.com/apache/dubbo/3.3/CHANGES.md,yes,no,yes
37,pingcap/tidb,project_logs/037_pingcap__tidb.md,https://docs.pingcap.com/tidb/stable/release-8.5.5,yes,yes,yes
38,GyulyVGC/sniffnet,project_logs/038_GyulyVGC__sniffnet.md,https://raw.githubusercontent.com/GyulyVGC/sniffnet/main/CHANGELOG.md,no,no,yes
39,QuivrHQ/quivr,project_logs/039_QuivrHQ__quivr.md,https://raw.githubusercontent.com/QuivrHQ/quivr/main/core/CHANGELOG.md,no,yes,yes
40,duckdb/duckdb,project_logs/040_duckdb__duckdb.md,https://github.com/duckdb/duckdb/releases/tag/v1.5.2,no,no,no
41,spacedriveapp/spacedrive,project_logs/041_spacedriveapp__spacedrive.md,https://github.com/spacedriveapp/spacedrive/releases/tag/0.4.2,no,yes,yes
42,ToolJet/ToolJet,project_logs/042_ToolJet__ToolJet.md,https://raw.githubusercontent.com/ToolJet/ToolJet/main/docs/versioned_docs/version-3.0.0-LTS/project-overview/release-notes.md,no,yes,yes
43,portainer/portainer,project_logs/043_portainer__portainer.md,https://github.com/portainer/portainer/releases/tag/2.42.0,yes,yes,yes
44,sqlmapproject/sqlmap,project_logs/044_sqlmapproject__sqlmap.md,https://raw.githubusercontent.com/sqlmapproject/sqlmap/master/doc/CHANGELOG.md,no,no,yes
45,aquasecurity/trivy,project_logs/045_aquasecurity__trivy.md,https://raw.githubusercontent.com/aquasecurity/trivy/main/CHANGELOG.md,yes,yes,yes
46,directus/directus,project_logs/046_directus__directus.md,https://github.com/directus/directus/releases/tag/v12.0.0-rc.1,yes,no,yes
47,v2fly/v2ray-core,project_logs/047_v2fly__v2ray-core.md,https://github.com/v2fly/v2ray-core/releases/tag/v5.49.0,no,no,no
48,swc-project/swc,project_logs/048_swc-project__swc.md,https://raw.githubusercontent.com/swc-project/swc/main/CHANGELOG-CORE.md,yes,yes,yes
49,derailed/k9s,project_logs/049_derailed__k9s.md,https://github.com/derailed/k9s/releases/tag/v0.50.18,no,no,yes
50,carbon-language/carbon-lang,project_logs/050_carbon-language__carbon-lang.md,https://raw.githubusercontent.com/carbon-language/carbon-lang/trunk/proposals/p001344-remove-llvm-from-the-repository-and-clean-up-history.md,no,no,yes
51,anoma/anoma,project_logs/051_anoma__anoma.md,https://raw.githubusercontent.com/anoma/anoma/base/CHANGELOG.md,yes,yes,yes
52,k3s-io/k3s,project_logs/052_k3s-io__k3s.md,https://raw.githubusercontent.com/k3s-io/k3s/main/docs/release/expanded/release_notes.md,no,no,yes
53,alibaba/nacos,project_logs/053_alibaba__nacos.md,https://github.com/alibaba/nacos/releases/tag/3.2.0,yes,yes,yes
54,seaweedfs/seaweedfs,project_logs/054_seaweedfs__seaweedfs.md,https://raw.githubusercontent.com/seaweedfs/seaweedfs/master/seaweed-volume/vendor/reed-solomon-erasure/CHANGELOG.md,no,no,yes
55,nicolargo/glances,project_logs/055_nicolargo__glances.md,https://github.com/nicolargo/glances/releases/tag/v4.5.1,yes,yes,yes
56,searxng/searxng,project_logs/056_searxng__searxng.md,https://raw.githubusercontent.com/searxng/searxng/master/CHANGELOG.rst,no,no,no
57,linera-io/linera-protocol,project_logs/057_linera-io__linera-protocol.md,https://github.com/linera-io/linera-protocol/releases/tag/v0.15.17,no,no,no
58,podman-container-tools/podman,project_logs/058_podman-container-tools__podman.md,https://raw.githubusercontent.com/podman-container-tools/podman/main/RELEASE_NOTES.md,yes,yes,yes
59,kubernetes/minikube,project_logs/059_kubernetes__minikube.md,https://raw.githubusercontent.com/kubernetes/minikube/master/CHANGELOG.md,yes,yes,yes
60,influxdata/influxdb,project_logs/060_influxdata__influxdb.md,https://github.com/influxdata/influxdb/releases/tag/v3.10.0,yes,no,yes
61,nginx/nginx,project_logs/061_nginx__nginx.md,https://github.com/nginx/nginx/compare/release-1.30.1...release-1.30.2,no,yes,yes
62,hiddify/hiddify-app,project_logs/062_hiddify__hiddify-app.md,https://raw.githubusercontent.com/hiddify/hiddify-app/main/HISTORY.md,yes,yes,yes
63,StevenBlack/hosts,project_logs/063_StevenBlack__hosts.md,https://raw.githubusercontent.com/StevenBlack/hosts/master/alternates/fakenews-gambling-porn/readme.md,no,yes,yes
64,openssl/openssl,project_logs/064_openssl__openssl.md,https://raw.githubusercontent.com/openssl/openssl/master/dev/NEWS-FORMAT.md,yes,yes,yes
65,hashicorp/consul,project_logs/065_hashicorp__consul.md,https://raw.githubusercontent.com/hashicorp/consul/main/CHANGELOG.md,no,no,yes
66,alibaba/spring-cloud-alibaba,project_logs/066_alibaba__spring-cloud-alibaba.md,https://github.com/alibaba/spring-cloud-alibaba/releases/tag/2025.1.0.0,no,no,yes
67,goharbor/harbor,project_logs/067_goharbor__harbor.md,https://raw.githubusercontent.com/goharbor/harbor/main/CHANGELOG.md,no,no,yes
68,chroma-core/chroma,project_logs/068_chroma-core__chroma.md,https://raw.githubusercontent.com/chroma-core/chroma/main/revision_history_function_302b0fcf.plan.md,no,yes,yes
69,authelia/authelia,project_logs/069_authelia__authelia.md,https://github.com/authelia/authelia/releases/tag/v4.39.16,yes,yes,yes
70,keepassxreboot/keepassxc,project_logs/070_keepassxreboot__keepassxc.md,https://raw.githubusercontent.com/keepassxreboot/keepassxc/develop/CHANGELOG.md,yes,no,yes
71,Infisical/infisical,project_logs/071_Infisical__infisical.md,https://github.com/Infisical/infisical/releases/tag/v0.161.1,no,no,yes
72,SigNoz/signoz,project_logs/072_SigNoz__signoz.md,https://github.com/SigNoz/signoz/releases/tag/v0.127.0,no,no,yes
73,kestra-io/kestra,project_logs/073_kestra-io__kestra.md,https://github.com/kestra-io/kestra/releases/tag/v1.3.23,no,no,yes
74,trufflesecurity/trufflehog,project_logs/074_trufflesecurity__trufflehog.md,https://github.com/trufflesecurity/trufflehog/releases/tag/v3.95.5,no,no,no
75,valkey-io/valkey,project_logs/075_valkey-io__valkey.md,https://github.com/valkey-io/valkey/releases/tag/9.1.0,yes,no,yes
76,dapr/dapr,project_logs/076_dapr__dapr.md,https://github.com/dapr/dapr/releases/tag/v1.18.0,yes,yes,yes
77,rancher/rancher,project_logs/077_rancher__rancher.md,https://github.com/rancher/rancher/releases/tag/v2.14.3-alpha2,no,no,yes
78,argotorg/solidity,project_logs/078_argotorg__solidity.md,https://raw.githubusercontent.com/argotorg/solidity/develop/docs/050-breaking-changes.rst,yes,yes,yes
79,jenkinsci/jenkins,project_logs/079_jenkinsci__jenkins.md,https://www.jenkins.io/changelog-stable/#v2.555.3,no,no,yes
80,pulumi/pulumi,project_logs/080_pulumi__pulumi.md,https://raw.githubusercontent.com/pulumi/pulumi/master/CHANGELOG.md,no,no,yes
81,zama-a-i/fhevm,project_logs/081_zama-a-i__fhevm.md,https://github.com/zama-a-i/fhevm/releases/tag/v0.13.0,no,no,yes
82,taosdata/TDengine,project_logs/082_taosdata__TDengine.md,https://github.com/taosdata/TDengine/releases/tag/ver-3.4.0.0,yes,no,yes
83,apache/skywalking,project_logs/083_apache__skywalking.md,https://raw.githubusercontent.com/apache/skywalking/master/docs/en/changes/changes-6.x.md,no,yes,yes
84,clockworklabs/SpacetimeDB,project_logs/084_clockworklabs__SpacetimeDB.md,https://github.com/clockworklabs/SpacetimeDB/releases/tag/v2.3.0,yes,yes,yes
85,cilium/cilium,project_logs/085_cilium__cilium.md,https://raw.githubusercontent.com/cilium/cilium/main/vendor/go.opentelemetry.io/otel/CHANGELOG.md,yes,yes,yes
86,radareorg/radare2,project_logs/086_radareorg__radare2.md,https://github.com/radareorg/radare2/releases/tag/6.1.6,no,yes,yes
87,dolthub/dolt,project_logs/087_dolthub__dolt.md,https://github.com/dolthub/dolt/releases/tag/v2.1.8,no,yes,yes
88,pubkey/rxdb,project_logs/088_pubkey__rxdb.md,https://raw.githubusercontent.com/pubkey/rxdb/master/docs-src/docs/releases/10.0.0.md,yes,yes,yes
89,argoproj/argo-cd,project_logs/089_argoproj__argo-cd.md,https://raw.githubusercontent.com/argoproj/argo-cd/master/CHANGELOG.md,yes,yes,yes
90,beekeeper-studio/beekeeper-studio,project_logs/090_beekeeper-studio__beekeeper-studio.md,https://github.com/beekeeper-studio/beekeeper-studio/releases/tag/v5.8.0,yes,yes,yes
91,timescale/timescaledb,project_logs/091_timescale__timescaledb.md,https://raw.githubusercontent.com/timescale/timescaledb/main/CHANGELOG.md,no,no,yes
92,PrefectHQ/prefect,project_logs/092_PrefectHQ__prefect.md,https://raw.githubusercontent.com/PrefectHQ/prefect/main/.claude/skills/document-changes/SKILL.md,yes,yes,yes
93,jhipster/generator-jhipster,project_logs/093_jhipster__generator-jhipster.md,https://github.com/jhipster/generator-jhipster/releases/tag/v9.0.0-beta.1,yes,yes,yes
94,getsops/sops,project_logs/094_getsops__sops.md,https://raw.githubusercontent.com/getsops/sops/main/CHANGELOG.md,no,no,yes
95,RustPython/RustPython,project_logs/095_RustPython__RustPython.md,https://raw.githubusercontent.com/RustPython/RustPython/main/Lib/idlelib/News3.txt,no,no,yes
96,vectordotdev/vector,project_logs/096_vectordotdev__vector.md,https://raw.githubusercontent.com/vectordotdev/vector/master/changelog.d/README.md,yes,no,yes
97,goauthentik/authentik,project_logs/097_goauthentik__authentik.md,https://docs.goauthentik.io/docs/releases/2026.5#fixed-in-202653,yes,yes,yes
98,thingsboard/thingsboard,project_logs/098_thingsboard__thingsboard.md,https://github.com/thingsboard/thingsboard/releases/tag/v4.3.1.2,no,yes,yes
99,dgraph-io/dgraph,project_logs/099_dgraph-io__dgraph.md,https://raw.githubusercontent.com/dgraph-io/dgraph/main/CHANGELOG.md,yes,yes,yes
100,oxc-project/oxc,project_logs/100_oxc-project__oxc.md,https://raw.githubusercontent.com/oxc-project/oxc/main/apps/oxlint/CHANGELOG.md,yes,yes,yes
